AnglesRateX,AnglesRateY,AnglesRateZ
0.0005,0.0034,0.0003
-0.0009,0.0071,0.0006
-0.0031,0.0031,0.0015
-0.0012,0.0012,0.0033
-0.0016,0.0029,0.0019
-0.006,0.0045,0.0003
-0.0057,0.0079,-0.001
-0.0008,0.0104,-0.0001
0.0011,0.0094,0.0052
-0.003,0.0057,0.0046
-0.0029,0.0058,0.0028
0.0007,0.0069,0.0002
-0.0012,0.0088,-0.002
-0.005,0.0083,-0.0034
-0.0024,0.0061,-0.0024
0.0017,0.0077,-0.0025
0.0013,0.0063,-0.0014
-0.0016,0.0045,-0.0003
-0.0042,0.0079,0.0
-0.0044,0.0081,-0.0011
0.0001,0.0042,-0.0018
0.0002,0.0064,0.0
-0.0014,0.0064,0.0023
0.0008,0.0031,0.0024
-0.0018,0.0055,0.0039
-0.0015,0.0075,0.0039
-0.0033,0.0029,0.0028
-0.0049,0.0015,0.0029
-0.0035,0.0054,0.001
-0.0039,0.008,0.0004
-0.006,0.0047,0.0007
-0.0027,0.0041,-0.0003
-0.0021,0.0051,-0.0021
-0.0027,0.0052,0.0017
-0.0042,0.0074,0.0042
-0.0015,0.0084,0.0025
0.0002,0.0082,0.0014
0.0019,0.0071,0.0027
0.0009,0.0061,0.0012
-0.005,0.003,-0.0002
-0.0061,0.0002,0.0028
0.0005,0.0012,0.0007
0.0008,0.0042,0.0002
-0.002,0.0061,0.0001
-0.0017,0.0074,-0.0016
0.0017,0.0083,-0.0035
-0.0025,0.0026,-0.0016
-0.0047,0.0057,0.0027
-0.0026,0.0096,0.0055
-0.002,0.0077,0.0069
-0.0017,0.0049,0.0025
-0.003,0.0043,0.0021
-0.0145,0.0046,0.002
-0.0454,0.0037,0.0012
-0.0894,0.0066,0.0014
-0.114,0.0068,0.0001
-0.1206,0.0019,0.0005
-0.1209,-0.0006,0.0022
-0.1313,0.0043,0.0001
-0.1523,0.0057,-0.0004
-0.1849,0.0093,0.0009
-0.2144,0.0038,0.0019
-0.2358,0.0006,0.0038
-0.2547,0.0032,0.0068
-0.2748,0.0024,0.0035
-0.2956,0.0039,0.0031
-0.3181,0.0045,0.0065
-0.3399,0.0009,0.005
-0.3573,0.0012,0.0036
-0.3742,0.003,0.0047
-0.3935,0.0028,0.0028
-0.4188,0.003,0.0027
-0.4522,0.0015,0.0057
-0.482,0.0015,0.0055
-0.5049,0.0022,0.0038
-0.5217,-0.0005,0.0063
-0.5301,-0.0011,0.0079
-0.5377,-0.0004,0.0068
-0.5595,0.0023,0.004
-0.5932,0.0051,0.002
-0.6284,-0.0007,0.0007
-0.6525,-0.007,0.0103
-0.6676,-0.0077,0.0142
-0.6915,-0.0028,0.0107
-0.7127,-0.0009,0.0094
-0.7282,-0.0031,0.0065
-0.7478,-0.0017,0.0073
-0.7758,0.002,0.0101
-0.8035,0.0007,0.0106
-0.815,0.0022,0.0099
-0.8363,-0.0005,0.0146
-0.8695,-0.0059,0.0146
-0.8923,-0.005,0.0124
-0.9132,-0.0017,0.0121
-0.9412,-0.0029,0.0102
-0.9478,-0.0055,0.012
-0.9496,-0.0084,0.0142
-0.9743,-0.0015,0.0129
-1.0127,-0.0005,0.0149
-1.0476,-0.0004,0.0155
-1.0648,-0.0042,0.0172
-1.0713,-0.0026,0.0189
-1.0892,-0.0009,0.0179
-1.116,-0.0015,0.0159
-1.1426,-0.0023,0.0152
-1.1659,-0.0063,0.0136
-1.1953,-0.0046,0.0163
-1.219,-0.0049,0.0198
-1.23,-0.0076,0.0186
-1.2414,-0.0039,0.0189
-1.2714,-0.0053,0.0203
-1.306,-0.008,0.0186
-1.3341,-0.0033,0.0167
-1.3556,-0.0006,0.0157
-1.3687,-0.0068,0.0166
-1.3833,-0.0071,0.0174
-1.4028,-0.0021,0.0208
-1.427,-0.0027,0.0208
-1.4523,-0.0032,0.0218
