AccelerationX,AccelerationY,AccelerationZ
-0.0101,-0.001,-0.9984
-0.0088,0.0001,-0.998
-0.0089,0.0007,-0.9989
-0.0109,0.0003,-0.9986
-0.0109,0.0002,-0.9974
-0.0099,0.0007,-0.9976
-0.009,0.0005,-0.998
-0.008,-0.0,-0.9983
-0.0095,-0.0011,-0.9983
-0.0108,-0.0015,-0.9989
-0.0111,-0.0011,-0.9994
-0.0095,-0.0006,-0.9997
-0.0094,-0.0007,-0.9997
-0.0095,-0.0006,-0.9993
-0.0097,-0.0003,-0.9991
-0.0094,-0.0,-0.9993
-0.0094,0.0001,-0.9993
-0.0092,0.0,-0.9992
-0.0088,0.0002,-0.9992
-0.0087,0.0011,-0.9981
-0.0104,0.0004,-0.998
-0.0123,-0.0004,-0.9986
-0.0111,-0.0011,-0.9989
-0.0093,-0.0017,-0.9987
-0.0079,-0.0015,-0.9979
-0.0102,-0.001,-0.9977
-0.011,-0.0013,-0.9986
-0.0109,-0.0013,-0.9984
-0.0103,-0.0009,-0.9983
-0.011,0.0002,-0.9978
-0.0114,0.0002,-0.997
-0.011,-0.001,-0.9978
-0.0108,-0.0022,-0.9988
-0.0096,-0.0013,-0.9986
-0.0097,-0.0007,-0.9988
-0.0103,-0.0005,-0.9988
-0.0094,-0.0008,-0.999
-0.0087,-0.001,-0.9984
-0.0101,-0.0012,-0.9978
-0.0105,-0.0013,-0.9981
-0.0104,-0.0002,-0.9983
-0.011,0.0002,-0.9977
-0.0113,-0.0003,-0.9978
-0.0108,-0.0001,-0.9979
-0.011,-0.0001,-0.9982
-0.0107,-0.0003,-0.9988
-0.01,-0.0004,-0.9989
-0.0096,-0.0006,-0.9985
-0.0099,-0.0008,-0.9977
-0.01,-0.0004,-0.9977
-0.0105,-0.0012,-0.9984
-0.0115,-0.0013,-0.9977
-0.0108,-0.0003,-0.9975
-0.0097,-0.0004,-0.9982
-0.0095,-0.0005,-0.9982
-0.0103,-0.0019,-0.9988
-0.011,-0.0021,-0.9997
-0.0105,-0.001,-0.9991
-0.0097,0.0001,-0.998
-0.0093,-0.0003,-0.9978
-0.0098,-0.0006,-0.9977
-0.0102,-0.0012,-0.9986
-0.0102,-0.0014,-0.9995
-0.0104,-0.0019,-0.9994
-0.0102,-0.0012,-0.9985
-0.0101,-0.001,-0.9977
-0.0115,-0.0008,-0.9982
-0.0111,-0.0005,-0.9992
-0.011,0.0005,-0.9984
-0.0109,0.0003,-0.9978
-0.0102,-0.0004,-0.9985
-0.0099,-0.0012,-0.9988
-0.0101,-0.0022,-0.9996
-0.0093,-0.0015,-0.9993
-0.0094,-0.0008,-0.9981
-0.0098,-0.0007,-0.9981
-0.0096,-0.0004,-0.9981
-0.0101,-0.0004,-0.9983
-0.0104,0.0006,-0.9977
-0.0107,0.0001,-0.9973
-0.0095,0.0002,-0.9981
-0.0093,-0.0005,-0.9988
-0.0109,-0.0025,-0.998
-0.0109,-0.0032,-0.9975
-0.0106,-0.0017,-0.9985
-0.0095,-0.0004,-0.9981
-0.0107,-0.0004,-0.9981
-0.0114,-0.0012,-0.9979
-0.0099,-0.0019,-0.9981
-0.0094,-0.0015,-0.9985
-0.0096,-0.0007,-0.9988
-0.0095,0.0009,-0.9984
-0.0096,0.0021,-0.9979
-0.0091,0.0007,-0.9977
-0.0099,-0.0004,-0.9983
-0.0112,-0.0009,-0.9979
-0.0108,-0.0012,-0.9979
-0.0099,-0.0008,-0.9986
-0.0095,-0.0003,-0.9985
-0.0105,0.0013,-0.9977
-0.0118,0.0016,-0.9981
-0.0115,0.0001,-0.9984
-0.0109,-0.0009,-0.9983
-0.0091,-0.001,-0.9981
-0.008,-0.0011,-0.9982
-0.0094,-0.0011,-0.9978
-0.0108,-0.0014,-0.9979
-0.01,-0.0019,-0.9983
-0.0105,-0.0004,-0.9981
-0.0109,0.0019,-0.9978
-0.0116,0.001,-0.9978
-0.0114,-0.0004,-0.9979
-0.011,-0.0013,-0.998
-0.0102,-0.0011,-0.9977
-0.0093,-0.0005,-0.9977
-0.0077,-0.0,-0.9973
-0.0076,-0.0001,-0.9972
-0.0084,-0.001,-0.9979
-0.0084,-0.0001,-0.9982
-0.0098,0.0012,-0.9986
-0.0117,0.0004,-0.999
-0.0128,-0.0003,-0.9983
-0.0137,-0.0017,-0.9979
-0.0127,-0.0014,-0.998
-0.0109,-0.0005,-0.9989
-0.0092,-0.001,-0.9989
-0.0096,-0.0027,-0.9991
-0.0108,-0.0024,-0.998
-0.0094,-0.0009,-0.9979
-0.0088,0.0001,-0.9984
-0.0085,0.0001,-0.9978
-0.0094,-0.0007,-0.9981
-0.0107,0.0003,-0.9978
-0.0111,0.0011,-0.9984
-0.011,0.0005,-0.9987
-0.0108,-0.0013,-0.9991
-0.0106,-0.0005,-0.9986
-0.0099,0.0007,-0.998
-0.0095,0.0003,-0.9983
-0.01,-0.0015,-0.997
-0.0097,-0.0013,-0.9974
-0.0094,-0.0008,-0.9982
-0.01,-0.0002,-0.9981
-0.0105,-0.0008,-0.9989
-0.0102,-0.0015,-0.9983
-0.011,-0.0018,-0.999
-0.0104,0.0001,-0.9975
-0.0104,0.0008,-0.9974
-0.0101,0.001,-0.9981
-0.0101,0.0006,-0.9981
-0.0109,-0.001,-0.9983
-0.0109,-0.0006,-0.9979
-0.0102,-0.0005,-0.9981
-0.0091,-0.0014,-0.9974
-0.0099,-0.0011,-0.9979
-0.0105,-0.0011,-0.9983
-0.0109,-0.0005,-0.9987
-0.0108,0.0005,-0.9984
-0.0105,0.0005,-0.998
-0.011,-0.0003,-0.9983
-0.0115,-0.0009,-0.9983
-0.0109,-0.0007,-0.9984
-0.0091,-0.0006,-0.9984
-0.0092,-0.0016,-0.998
-0.0103,-0.0019,-0.9987
-0.0105,-0.0013,-0.9986
-0.0107,-0.001,-0.9978
-0.0106,-0.0004,-0.9977
-0.0098,-0.0006,-0.9986
-0.0099,0.0004,-0.9984
-0.0103,0.001,-0.999
-0.01,0.0006,-0.9991
-0.0097,0.0002,-0.9981
-0.0098,0.0003,-0.9971
-0.0106,-0.0005,-0.9973
-0.0112,-0.0013,-0.9982
-0.0102,-0.0016,-0.9989
-0.01,-0.0017,-0.9993
-0.0106,-0.0025,-0.9993
-0.0105,-0.0025,-0.9994
-0.0113,-0.0018,-0.9989
-0.0105,-0.0002,-0.9984
-0.0094,0.001,-0.9985
-0.0099,0.0009,-0.9986
-0.0099,0.0001,-0.9986
-0.0099,-0.001,-0.9985
-0.0092,-0.0012,-0.9974
-0.0087,-0.0008,-0.9973
-0.0099,-0.0004,-0.9976
-0.0101,-0.0012,-0.9977
-0.0106,-0.0008,-0.9979
-0.0109,-0.0004,-0.9977
-0.0108,-0.0005,-0.998
-0.0104,-0.0001,-0.9983
-0.0098,0.0002,-0.998
-0.0096,-0.0003,-0.9985
-0.009,-0.0009,-0.9994
-0.0093,-0.0009,-0.9987
-0.0104,-0.0016,-0.9986
-0.0104,-0.0011,-0.9986
-0.0106,-0.001,-0.9984
-0.0108,-0.0014,-0.9988
-0.0108,-0.0011,-0.9992
-0.01,0.0007,-0.9985
-0.0106,0.0016,-0.9978
-0.0112,0.0003,-0.9981
-0.0113,-0.0002,-0.9977
-0.0103,-0.0007,-0.9978
-0.0107,-0.0015,-0.9993
-0.0107,-0.0016,-0.9989
-0.01,-0.0006,-0.9978
-0.0098,-0.0,-0.9982
-0.0104,0.0002,-0.9983
-0.0109,-0.0003,-0.9985
-0.011,-0.0006,-0.9983
-0.0109,-0.0003,-0.998
-0.01,0.0003,-0.9982
-0.0095,-0.0003,-0.9989
-0.0109,-0.0018,-0.9989
-0.011,-0.0022,-0.9984
-0.0101,-0.0013,-0.9982
-0.0097,0.0,-0.9975
-0.0094,0.0002,-0.998
-0.01,-0.0008,-0.9987
-0.0108,-0.0006,-0.9977
-0.0109,-0.0001,-0.9984
-0.0105,-0.0003,-0.9993
-0.0105,-0.0002,-0.998
-0.0104,-0.0002,-0.9981
-0.0101,-0.0013,-0.9991
-0.0098,-0.002,-0.9993
-0.01,-0.0017,-0.9984
-0.0096,-0.0005,-0.9981
-0.01,0.0013,-0.9981
-0.0094,0.0012,-0.9981
-0.0097,0.0005,-0.9982
-0.0112,-0.0006,-0.9986
-0.012,-0.0013,-0.9986
-0.0109,-0.0014,-0.9988
-0.01,-0.0008,-0.9989
-0.0103,-0.0005,-0.999
-0.011,-0.0002,-0.998
-0.0107,-0.0,-0.9973
-0.0105,-0.001,-0.9986
-0.0095,-0.001,-0.9993
-0.0082,-0.0,-0.9985
-0.0084,0.0012,-0.9973
-0.0096,-0.0005,-0.9981
-0.0114,-0.0014,-0.998
-0.0117,-0.0015,-0.9985
-0.0103,-0.0003,-0.999
-0.0093,0.001,-0.9987
-0.0097,-0.0,-0.998
-0.0123,-0.0028,-0.9986
-0.0126,-0.0024,-0.9989
-0.0109,-0.0011,-0.999
-0.0079,-0.0003,-0.9982
-0.0079,-0.0001,-0.9974
-0.0098,-0.0013,-0.9977
-0.011,-0.002,-0.9988
-0.0109,-0.0015,-0.9996
-0.0101,-0.0009,-0.9994
-0.0104,-0.0005,-0.9992
-0.0119,-0.0006,-0.9983
-0.0126,-0.0009,-0.9976
-0.0107,-0.001,-0.9981
-0.0089,-0.001,-0.999
-0.0101,-0.0008,-0.9986
-0.0103,-0.0006,-0.9984
-0.0104,-0.0008,-0.9986
-0.0097,0.0002,-0.9981
-0.0092,0.0003,-0.9976
-0.0097,-0.0011,-0.9977
-0.0103,-0.0012,-0.9976
-0.0108,-0.0009,-0.9974
-0.0118,-0.0005,-0.9975
-0.011,-0.0009,-0.9979
-0.0095,-0.0016,-0.9977
-0.0091,-0.0006,-0.9983
-0.0091,-0.0001,-0.9995
-0.0089,-0.0007,-0.9991
-0.01,-0.0007,-0.9975
-0.0098,-0.0009,-0.9973
-0.0098,-0.0003,-0.9977
-0.0109,-0.0002,-0.9984
