AccelerationX,AccelerationY,AccelerationZ
0.0138,-0.0002,1.0004
0.014,-0.0004,1.0001
0.014,-0.0006,0.9999
0.0139,-0.0007,1.0
0.0138,-0.0008,1.0
0.0137,-0.001,0.9999
0.0138,-0.0009,1.0
0.0139,-0.0008,1.0001
0.0139,-0.0006,1.0002
0.0138,-0.0006,1.0
0.0135,-0.0005,0.9998
0.013,-0.0003,1.0004
0.0129,0.0003,1.001
0.0141,0.0012,1.0017
0.0144,0.0017,1.0012
0.0131,0.0007,1.0001
0.0127,0.0001,1.0008
0.0133,-0.0004,1.0008
0.0137,-0.0002,1.0001
0.0147,0.0009,1.0003
0.0141,0.0002,1.0004
0.0139,-0.0003,1.0009
0.0137,-0.0003,1.0009
0.0135,0.0003,1.0008
0.0141,0.0009,1.001
0.0137,0.0007,1.0003
0.0142,-0.0,1.0004
0.0147,0.0,1.001
0.0142,0.0006,1.0003
0.0142,0.0008,1.0002
0.0138,0.0003,1.0004
0.0133,0.0004,1.0003
0.014,-0.0006,1.0003
0.0138,-0.0002,1.0009
0.0141,0.0002,1.0009
0.0146,-0.0008,1.0
0.0143,-0.0006,0.9995
0.0133,0.0002,1.0007
0.0132,0.0005,1.0005
0.0135,0.0003,0.9997
0.0133,-0.0004,0.9993
0.0134,0.0007,0.9992
0.0136,0.0009,0.9998
0.0136,0.0001,0.9996
0.0142,-0.0,1.0001
0.0136,0.0005,1.0006
0.0128,0.0004,1.0002
0.013,-0.0005,0.9994
0.0137,0.0003,1.0002
0.014,0.0007,0.9998
0.0139,0.0002,1.0001
0.0137,-0.0001,0.9999
0.0138,-0.0005,0.9997
0.0136,-0.0007,0.9994
0.0139,-0.0003,1.0005
0.0145,-0.0003,1.0007
0.0139,-0.0013,1.0004
0.0131,-0.0059,0.9992
0.0134,-0.007,0.9976
0.0149,0.0038,0.9983
0.0159,0.0096,1.0
0.0141,-0.0083,1.0005
0.0121,-0.02,0.9983
0.0132,-0.0111,0.9979
0.0152,0.0028,1.0001
0.014,-0.0011,0.9993
0.0119,-0.013,0.9976
0.0127,-0.0161,0.9974
0.015,-0.012,0.9991
0.0151,-0.0115,0.9989
0.0127,-0.0166,0.9978
0.0111,-0.0211,0.9992
0.0125,-0.0179,0.9997
0.015,-0.0172,0.9992
0.0149,-0.0269,0.9991
0.0133,-0.0343,0.9976
0.0133,-0.0361,0.9973
0.0141,-0.0315,0.9984
0.0155,-0.0278,0.9987
0.0146,-0.0361,0.9991
0.0126,-0.0526,0.9964
0.0136,-0.0493,0.997
0.0151,-0.0472,0.9997
0.0129,-0.0619,0.9974
0.0118,-0.0587,0.9961
0.0141,-0.0489,0.998
0.016,-0.0619,1.002
0.0138,-0.0857,0.9943
0.013,-0.0851,0.9918
0.0149,-0.0708,0.9974
0.0156,-0.0714,1.0014
0.0134,-0.0995,0.9954
0.0121,-0.1177,0.9892
0.0174,-0.089,0.9937
0.0197,-0.0793,1.0009
0.0125,-0.1323,0.9936
0.008,-0.1469,0.9834
0.0165,-0.105,0.9919
0.0212,-0.1117,1.0029
0.0126,-0.1516,0.9854
0.0084,-0.1506,0.9803
0.0164,-0.1453,0.9922
0.019,-0.1611,0.9943
0.0131,-0.1639,0.9811
0.013,-0.1593,0.9844
0.0161,-0.17,0.9919
0.0141,-0.198,0.979
0.0139,-0.2087,0.9744
0.0164,-0.192,0.9783
0.0167,-0.1944,0.9851
0.0111,-0.2225,0.9765
0.0097,-0.2345,0.9677
0.0163,-0.2295,0.9715
0.0219,-0.2228,0.9776
0.0162,-0.2525,0.9715
0.0104,-0.281,0.9565
0.0129,-0.2581,0.9655
0.0188,-0.2489,0.9778
0.0176,-0.28,0.9641
0.0143,-0.3125,0.9449
0.0144,-0.3087,0.9491
0.0144,-0.3013,0.9585
0.0145,-0.3019,0.9557
0.0144,-0.3322,0.9492
0.0169,-0.3531,0.9332
0.0177,-0.3526,0.9358
0.0175,-0.3421,0.9421
0.0159,-0.358,0.9417
0.0161,-0.3796,0.9263
0.0161,-0.3912,0.9208
0.0171,-0.4063,0.9159
0.0156,-0.3998,0.9212
0.0123,-0.406,0.9197
0.0137,-0.4274,0.9084
0.0166,-0.4493,0.896
0.0182,-0.4481,0.8934
0.0165,-0.437,0.9057
0.0129,-0.4608,0.8953
0.0127,-0.4864,0.8736
0.019,-0.4868,0.875
0.0213,-0.482,0.8778
0.0189,-0.4903,0.8794
0.0117,-0.5189,0.8542
0.0116,-0.5334,0.8459
0.0176,-0.5292,0.8515
0.0218,-0.5196,0.8586
0.0181,-0.5446,0.8441
0.0114,-0.5735,0.8155
0.0117,-0.5799,0.8192
0.02,-0.5633,0.8255
0.0222,-0.5693,0.8275
0.0168,-0.5981,0.8072
0.013,-0.611,0.7861
0.014,-0.6169,0.7912
0.0182,-0.6128,0.7936
0.0188,-0.6195,0.7892
0.016,-0.6388,0.7724
0.0137,-0.6506,0.7592
0.0141,-0.6569,0.7582
0.0164,-0.6498,0.7657
0.0166,-0.6664,0.754
0.0156,-0.6901,0.7237
0.0169,-0.6839,0.7248
0.0171,-0.6854,0.7357
0.0152,-0.6986,0.7258
0.0146,-0.7118,0.7077
0.0156,-0.7271,0.6823
0.0159,-0.7303,0.684
0.0168,-0.7234,0.6946
0.015,-0.7318,0.6877
0.014,-0.7412,0.6801
0.0147,-0.7607,0.6501
0.0155,-0.771,0.631
0.0162,-0.7663,0.6373
0.016,-0.7628,0.6571
0.0123,-0.7819,0.6341
0.0116,-0.7965,0.5984
0.0164,-0.7979,0.6003
0.02,-0.7954,0.611
0.0144,-0.8094,0.5963
0.0086,-0.8213,0.5714
0.0116,-0.8145,0.5758
0.0172,-0.8277,0.5777
0.0175,-0.8401,0.5558
0.0151,-0.8349,0.5453
0.0119,-0.8473,0.5262
0.0118,-0.8529,0.5297
0.0151,-0.8511,0.5347
0.0155,-0.8676,0.508
0.0158,-0.8736,0.4935
0.0164,-0.8652,0.4926
0.0121,-0.8754,0.491
0.0108,-0.8918,0.4664
0.0165,-0.8875,0.4498
0.0172,-0.8846,0.4647
0.0134,-0.903,0.4496
0.0106,-0.9096,0.4254
0.0124,-0.9061,0.4055
0.0141,-0.9084,0.425
0.0151,-0.9163,0.4238
0.0132,-0.9241,0.382
0.0112,-0.9261,0.3667
0.0123,-0.9334,0.3603
0.0152,-0.9287,0.3813
0.0146,-0.9325,0.3709
0.0107,-0.9464,0.3242
0.0098,-0.951,0.3093
0.0132,-0.9468,0.3226
0.0149,-0.9474,0.3345
0.0123,-0.959,0.294
0.0087,-0.9615,0.2697
0.0112,-0.9615,0.2836
0.0141,-0.9643,0.2774
0.0124,-0.9652,0.2595
0.0103,-0.9722,0.2264
0.0118,-0.9726,0.2294
0.0127,-0.9761,0.2416
0.0115,-0.9805,0.2287
0.0089,-0.9814,0.203
0.01,-0.9838,0.1587
0.0109,-0.9812,0.1767
0.0116,-0.9855,0.1917
0.0112,-0.9911,0.173
0.0086,-0.9944,0.1492
0.0093,-0.989,0.1203
0.0109,-0.989,0.1251
0.0118,-0.9937,0.1246
0.0096,-0.9947,0.1184
0.0089,-0.9994,0.0946
0.0103,-0.9988,0.0734
0.0116,-0.995,0.071
0.0113,-0.9969,0.0758
0.0087,-1.0024,0.0499
0.0084,-1.0021,0.021
0.0095,-0.998,0.0375
0.0121,-1.0034,0.0364
0.0115,-1.0054,0.0104
0.0088,-0.9952,-0.0099
0.0079,-0.9972,-0.0356
0.0087,-1.0024,-0.0286
0.0089,-1.005,-0.0194
0.0086,-1.0042,-0.0329
0.0081,-0.9978,-0.0492
0.0055,-0.9971,-0.0853
0.0048,-0.9942,-0.0972
0.0091,-0.9968,-0.0832
0.0101,-1.0034,-0.0749
0.007,-1.0023,-0.1051
0.0048,-0.9893,-0.1402
0.0064,-0.9822,-0.1307
0.0084,-0.9908,-0.1375
0.0064,-0.9931,-0.1618
0.0054,-0.9839,-0.1698
0.0072,-0.9844,-0.1616
0.0077,-0.9888,-0.1781
0.0048,-0.9843,-0.2067
0.0057,-0.972,-0.209
0.0086,-0.9727,-0.2243
0.0075,-0.9765,-0.2225
0.0036,-0.9746,-0.2205
0.0038,-0.9676,-0.2683
0.0072,-0.959,-0.266
0.0082,-0.9633,-0.2547
0.0055,-0.9642,-0.2776
0.004,-0.9562,-0.3023
0.0045,-0.9478,-0.3077
0.0055,-0.9514,-0.2928
0.0058,-0.9545,-0.3241
0.0055,-0.9415,-0.3462
0.0067,-0.9314,-0.3463
0.0047,-0.9397,-0.3405
0.002,-0.9394,-0.3516
0.0023,-0.9181,-0.3906
0.0023,-0.9093,-0.3944
0.0053,-0.9169,-0.3977
0.0049,-0.9257,-0.3875
0.0018,-0.917,-0.3972
-0.0007,-0.896,-0.4458
0.0007,-0.8859,-0.4516
0.0036,-0.8981,-0.4367
0.0053,-0.9033,-0.4342
0.0036,-0.8866,-0.4689
-0.0005,-0.8675,-0.4882
-0.0007,-0.8712,-0.4771
0.0024,-0.8762,-0.4872
0.0034,-0.8646,-0.5013
0.0015,-0.85,-0.5283
-0.0005,-0.8476,-0.5254
0.0015,-0.8557,-0.5143
0.0005,-0.8522,-0.5298
-0.0016,-0.832,-0.5473
0.0011,-0.8104,-0.5838
0.0024,-0.8191,-0.5641
0.0029,-0.8324,-0.5539
-0.0007,-0.8178,-0.5812
-0.0042,-0.7927,-0.5973
-0.0006,-0.7795,-0.6172
0.0031,-0.7883,-0.6112
0.0022,-0.7937,-0.612
-0.0012,-0.7864,-0.6164
-0.0027,-0.7659,-0.6394
-0.0031,-0.749,-0.6625
-0.0019,-0.7542,-0.6514
0.0019,-0.7597,-0.6541
0.0008,-0.7385,-0.6747
-0.002,-0.718,-0.684
-0.005,-0.7231,-0.6817
-0.0027,-0.7281,-0.6851
0.0001,-0.7173,-0.7005
-0.001,-0.6994,-0.7123
-0.0005,-0.6821,-0.7283
-0.0032,-0.6843,-0.7256
-0.0045,-0.69,-0.7238
-0.0025,-0.6828,-0.7314
-0.0023,-0.6673,-0.7391
-0.0029,-0.6405,-0.7729
-0.0035,-0.632,-0.7674
-0.0009,-0.6478,-0.7528
-0.0006,-0.6485,-0.7704
-0.0038,-0.6215,-0.7775
-0.0044,-0.5931,-0.8002
-0.0024,-0.5981,-0.7935
-0.0005,-0.6071,-0.7961
-0.0036,-0.5888,-0.8144
-0.0062,-0.5706,-0.8108
-0.0054,-0.5676,-0.8194
-0.0026,-0.5647,-0.8252
-0.0028,-0.5538,-0.8337
-0.0048,-0.5357,-0.8453
-0.0032,-0.5248,-0.8466
-0.0047,-0.5282,-0.8442
-0.0069,-0.5236,-0.8494
-0.0071,-0.4974,-0.8729
-0.0062,-0.4892,-0.8646
-0.0038,-0.4942,-0.8608
-0.0051,-0.4778,-0.8839
-0.0099,-0.4605,-0.882
-0.0086,-0.4532,-0.8818
-0.0058,-0.4547,-0.8901
-0.0044,-0.4404,-0.9031
-0.0063,-0.4183,-0.9058
-0.0062,-0.4223,-0.9034
-0.0064,-0.4178,-0.911
-0.0085,-0.4011,-0.9024
-0.0072,-0.3658,-0.9218
-0.0055,-0.3525,-0.9304
-0.0063,-0.3698,-0.9262
-0.007,-0.3758,-0.9278
-0.0077,-0.3528,-0.9278
-0.0087,-0.3125,-0.9429
-0.0084,-0.3099,-0.9422
-0.0057,-0.3289,-0.9415
-0.0057,-0.3261,-0.945
-0.009,-0.2901,-0.9548
-0.0123,-0.2751,-0.9527
-0.007,-0.2802,-0.9523
-0.0044,-0.2779,-0.9626
-0.0076,-0.2621,-0.9585
-0.0098,-0.2449,-0.9636
-0.0087,-0.2369,-0.9663
-0.0072,-0.2377,-0.9679
-0.0061,-0.2386,-0.9682
-0.0077,-0.2229,-0.9729
-0.0098,-0.2088,-0.9731
-0.0107,-0.2023,-0.9726
-0.009,-0.1871,-0.9784
-0.0084,-0.1831,-0.9772
-0.0067,-0.1905,-0.9787
-0.0077,-0.1946,-0.9806
-0.0107,-0.1679,-0.982
-0.0128,-0.1328,-0.9816
-0.0078,-0.1554,-0.9785
-0.0041,-0.157,-0.9875
-0.0067,-0.1372,-0.9925
-0.0135,-0.1377,-0.9832
-0.0113,-0.1337,-0.9884
-0.0084,-0.1229,-0.9912
-0.0091,-0.1148,-0.9862
-0.0094,-0.1012,-0.9913
-0.0096,-0.0984,-0.9914
-0.0107,-0.1092,-0.9907
-0.0111,-0.0997,-0.994
