AnglesRateX,AnglesRateY,AnglesRateZ
-0.0012,0.0028,0.0017
-0.0021,0.0029,0.0025
-0.0022,0.0028,0.0018
-0.0031,0.0023,0.0017
-0.0036,0.0021,0.0027
-0.0045,0.0018,0.0022
-0.0041,0.0023,0.0022
-0.005,0.0016,0.0031
-0.0051,0.0016,0.0033
-0.0054,0.0015,0.0028
-0.0058,0.0025,0.0014
-0.0064,0.0029,-0.0005
-0.0044,0.0037,0.0002
-0.0046,0.0018,0.0028
-0.0058,0.0046,0.0005
-0.0036,0.0073,0.0014
-0.0009,0.0098,0.0027
0.0007,0.0076,0.0003
0.0023,0.0044,0.0024
-0.0015,0.0051,0.0036
-0.004,0.0065,0.0014
-0.0029,0.0095,-0.0002
-0.0036,0.0068,-0.0003
-0.005,0.0046,-0.0002
-0.0071,0.0047,0.0038
-0.0021,0.0066,0.0035
0.0006,0.0076,-0.0018
-0.0008,0.0044,-0.004
-0.0029,0.0041,0.0007
-0.0032,0.006,0.0041
0.0016,0.0026,0.0031
0.0023,0.0028,0.0001
-0.0004,0.006,0.0013
-0.0016,0.0064,0.0022
-0.0041,0.0033,0.0013
-0.0023,0.0042,0.0013
-0.0024,0.0089,-0.0019
-0.0055,0.0102,-0.0003
-0.0027,0.0034,0.0014
-0.0011,0.0023,0.0007
-0.0028,0.0055,-0.0014
-0.0049,0.0049,0.0002
-0.0057,0.0026,0.0035
-0.0018,0.0059,0.0028
-0.0044,0.0075,0.0027
-0.0073,0.0058,0.003
-0.0009,0.0026,0.0014
-0.0031,0.0022,-0.0015
-0.0031,0.004,0.002
-0.0005,0.0021,0.0022
0.0015,0.0032,0.0012
0.0026,0.0041,0.0032
0.0025,0.0019,0.0017
-0.0024,0.0054,-0.0013
-0.0044,0.007,-0.0003
-0.0026,0.0072,0.0025
-0.0041,0.006,0.0018
-0.0127,0.0026,0.0002
-0.0342,0.0031,0.0043
-0.0716,0.0096,0.0042
-0.1063,0.0077,0.0021
-0.1197,0.0053,0.0076
-0.1232,0.0049,0.0084
-0.1334,0.0047,0.0057
-0.1502,0.004,0.0043
-0.1694,0.0005,0.004
-0.2015,-0.0017,0.0027
-0.232,0.0013,0.0027
-0.2523,0.0044,0.006
-0.2653,0.0037,0.0112
-0.2854,0.001,0.008
-0.3108,-0.0002,0.0042
-0.3332,0.0019,0.0042
-0.3518,0.0071,0.0037
-0.3733,0.0069,0.0053
-0.3885,0.0025,0.0072
-0.4055,-0.0004,0.0082
-0.4334,0.0041,0.0076
-0.4658,0.0049,0.0072
-0.4937,0.0036,0.0072
-0.5204,0.0038,0.0126
-0.5339,0.0036,0.0172
-0.5381,0.0007,0.011
-0.55,0.0004,0.005
-0.5765,-0.0007,0.0023
-0.6047,-0.0003,0.0038
-0.6341,0.0023,0.0078
-0.6631,0.0022,0.0114
-0.6812,0.0009,0.0112
-0.7033,-0.0016,0.0119
-0.7204,-0.0024,0.0115
-0.7331,0.0003,0.0142
-0.7599,-0.0023,0.0143
-0.7964,-0.0029,0.0095
-0.8141,0.0007,0.0119
-0.8202,0.001,0.0128
-0.8506,-0.0006,0.0106
-0.8786,-0.0043,0.012
-0.9021,-0.0002,0.0118
-0.9318,0.0026,0.0133
-0.952,-0.0004,0.0173
-0.9557,-0.0006,0.0153
-0.9632,-0.0022,0.013
-0.997,-0.0037,0.0116
-1.0366,-0.0009,0.0105
-1.0603,-0.0033,0.0118
-1.0732,-0.0062,0.0148
-1.0902,-0.0093,0.0192
-1.1055,-0.0103,0.0164
-1.1315,-0.0042,0.012
-1.1572,-0.0071,0.0155
-1.1804,-0.0059,0.0163
-1.2066,-0.0045,0.0149
-1.2269,-0.007,0.0151
-1.2347,-0.0061,0.0145
-1.2566,-0.0035,0.0135
-1.2946,-0.0064,0.0144
-1.3313,-0.0068,0.0159
-1.3507,-0.0061,0.0157
-1.3665,-0.0057,0.0157
-1.3767,-0.0077,0.0179
-1.3966,-0.0062,0.019
-1.4233,-0.002,0.0182
-1.446,-0.0051,0.0212
-1.4726,-0.0055,0.0194
-1.5017,-0.0064,0.0186
-1.5286,-0.0093,0.0219
-1.5566,-0.0096,0.023
-1.5662,-0.0115,0.021
-1.5654,-0.008,0.0216
-1.5642,-0.0037,0.019
-1.565,-0.0053,0.0201
-1.5695,-0.0065,0.0218
-1.5721,-0.0063,0.0241
-1.5684,-0.0041,0.0227
-1.5685,-0.004,0.0203
-1.5751,-0.0058,0.0205
-1.5767,-0.0038,0.0179
-1.5753,-0.0051,0.0197
-1.5806,-0.0119,0.0211
-1.5842,-0.0105,0.0218
-1.5811,-0.0075,0.0221
-1.5771,-0.0065,0.019
-1.5746,-0.0063,0.0215
-1.577,-0.0081,0.0207
-1.5825,-0.0102,0.0185
-1.5818,-0.0054,0.0235
-1.5694,-0.004,0.0241
-1.5684,-0.006,0.0236
-1.5719,-0.0102,0.0201
-1.5857,-0.0054,0.0196
-1.5942,0.0008,0.0223
-1.5813,-0.0032,0.0235
-1.5692,-0.0058,0.0237
-1.5674,-0.0054,0.0236
-1.5692,-0.0059,0.0191
-1.5671,-0.0038,0.0206
-1.5679,-0.004,0.022
-1.5718,-0.0039,0.021
-1.565,-0.0034,0.019
-1.5567,-0.0021,0.0178
-1.5558,0.0024,0.0189
-1.564,-0.0032,0.0213
-1.5732,-0.0066,0.0217
-1.5772,-0.0043,0.022
-1.5747,-0.0025,0.0218
-1.5617,-0.0031,0.0253
-1.5521,-0.0068,0.0242
-1.5593,-0.0093,0.0222
-1.5757,-0.0062,0.0198
-1.5828,-0.0075,0.0202
-1.5719,-0.0089,0.0206
-1.5624,-0.0054,0.0201
-1.5621,-0.0104,0.0204
-1.5672,-0.0131,0.0182
-1.5803,-0.0033,0.0208
-1.583,-0.0073,0.0234
-1.5858,-0.0128,0.026
-1.5745,-0.0102,0.0231
-1.5595,-0.0007,0.0181
-1.5659,-0.002,0.0185
-1.5757,-0.0096,0.0198
-1.5754,-0.0104,0.0222
-1.5755,-0.0054,0.0221
-1.5721,-0.0024,0.022
-1.5713,-0.0026,0.0228
-1.5763,-0.0033,0.0224
-1.5769,-0.0066,0.0202
-1.5739,-0.0031,0.0188
-1.5869,-0.0005,0.0216
-1.5964,-0.0062,0.0217
-1.5854,-0.0054,0.0207
-1.5808,-0.0028,0.0228
-1.5815,-0.0077,0.023
-1.5839,-0.0103,0.0229
-1.5829,-0.0065,0.0254
-1.5817,0.0001,0.0242
-1.5942,-0.0033,0.0236
-1.6024,-0.0098,0.0237
-1.6043,-0.0051,0.0217
-1.5949,-0.0031,0.0202
-1.5805,-0.003,0.0212
-1.5732,-0.0033,0.0213
-1.5779,-0.0027,0.0197
-1.5883,-0.0025,0.0202
-1.5865,-0.0092,0.0216
-1.579,-0.0109,0.0219
-1.5776,-0.0082,0.0227
-1.5721,-0.0029,0.0218
-1.5739,0.0033,0.0206
-1.5828,-0.0045,0.0186
-1.5857,-0.0105,0.0189
-1.5856,-0.006,0.0227
-1.5773,-0.0032,0.0222
-1.5672,-0.0034,0.0192
-1.5714,-0.0057,0.0191
-1.5851,-0.0051,0.0204
-1.5913,-0.0065,0.0243
-1.5833,-0.0086,0.0239
-1.5705,-0.0075,0.021
-1.569,-0.0069,0.0203
-1.5749,-0.0057,0.022
-1.5816,-0.004,0.0206
-1.5902,-0.0019,0.0243
-1.5862,-0.0071,0.0249
-1.5755,-0.0094,0.026
-1.5664,-0.0077,0.0227
-1.5646,-0.0021,0.0186
-1.5622,-0.0011,0.0212
-1.5622,-0.0057,0.0199
-1.5677,-0.0067,0.0226
-1.5627,-0.0071,0.0221
-1.5512,-0.0035,0.0205
-1.5521,-0.0032,0.0214
-1.5611,-0.0113,0.0215
-1.5746,-0.0065,0.0268
-1.5803,-0.0029,0.0256
-1.5672,-0.0051,0.025
-1.554,-0.0069,0.0234
-1.5493,-0.0094,0.0223
-1.558,-0.006,0.0227
-1.5786,-0.0036,0.0214
-1.583,-0.0053,0.0238
-1.5703,-0.0067,0.0236
-1.5627,-0.0066,0.0217
-1.566,-0.0092,0.0173
-1.5725,-0.0082,0.0169
-1.5839,-0.0059,0.018
-1.5858,-0.0074,0.0226
-1.5811,-0.007,0.0207
-1.5702,-0.0051,0.019
-1.5602,-0.0014,0.0204
-1.5644,-0.0042,0.0196
-1.5684,-0.0086,0.0166
-1.5729,-0.0081,0.0195
-1.5762,-0.0059,0.0265
-1.5752,-0.0046,0.0267
-1.5705,-0.002,0.0257
-1.5667,-0.0053,0.0223
-1.5706,-0.0054,0.0229
-1.5793,-0.0012,0.0246
-1.5875,-0.0056,0.026
-1.5872,-0.0063,0.0275
-1.5813,-0.0032,0.0275
-1.5784,-0.0027,0.0215
-1.5805,-0.0084,0.0202
-1.5801,-0.0046,0.0233
-1.5763,-0.0017,0.0233
-1.5826,-0.0037,0.0249
-1.5946,-0.005,0.0224
-1.6021,-0.0081,0.0197
-1.6079,-0.0093,0.0233
-1.5962,-0.0088,0.0228
-1.58,-0.009,0.0199
-1.5796,-0.0025,0.0222
-1.5862,0.0013,0.0288
-1.5892,-0.0035,0.026
-1.5823,-0.0065,0.025
-1.578,-0.0094,0.0243
-1.5759,-0.0112,0.0219
-1.5744,-0.0092,0.0224
-1.5804,-0.0036,0.0244
-1.5816,-0.0056,0.023
-1.5847,-0.0045,0.02
-1.5849,-0.004,0.0212
-1.5772,-0.0057,0.0192
-1.5704,-0.0014,0.0164
-1.5731,-0.0048,0.0235
-1.5853,-0.0074,0.0271
-1.591,-0.0049,0.0233
-1.5857,-0.0064,0.0212
-1.5717,-0.0086,0.022
-1.5709,-0.0077,0.0216
-1.5833,-0.0028,0.0243
-1.593,-0.0011,0.0244
-1.59,-0.0048,0.0234
-1.5771,-0.0079,0.0203
-1.5669,-0.0065,0.0198
-1.5641,-0.0019,0.0205
-1.5693,0.0023,0.019
-1.5734,-0.0014,0.0204
-1.568,-0.0069,0.023
-1.5666,-0.0057,0.0218
-1.5617,-0.0027,0.0248
-1.5536,-0.0003,0.0251
-1.5593,-0.0003,0.0234
-1.565,-0.0022,0.0185
-1.5714,-0.0039,0.0218
-1.5775,-0.0012,0.0201
-1.569,-0.0027,0.0173
-1.5583,-0.0049,0.0191
-1.5541,-0.0028,0.0213
-1.5625,-0.0022,0.0211
-1.5789,-0.0041,0.0204
-1.5801,-0.0051,0.0213
-1.5671,-0.0055,0.0176
-1.56,-0.0073,0.0166
-1.5642,-0.0024,0.0193
-1.5767,-0.0036,0.0213
-1.5881,-0.0057,0.0231
-1.5839,-0.0062,0.0221
-1.5766,-0.0066,0.0191
-1.5682,-0.0015,0.0187
-1.5602,-0.0023,0.0218
-1.5682,-0.0051,0.0227
-1.575,-0.0044,0.0195
-1.5808,-0.0022,0.018
-1.5793,-0.0038,0.0202
-1.5706,-0.0065,0.0225
-1.5694,-0.0036,0.0216
-1.5736,-0.0026,0.0183
-1.5751,-0.0062,0.0196
-1.5819,-0.0074,0.0212
-1.5885,-0.0046,0.0213
-1.5911,-0.0011,0.0193
-1.5847,-0.0028,0.017
-1.5813,-0.0048,0.0209
-1.584,-0.0061,0.0228
-1.5825,-0.0036,0.0174
-1.5818,-0.0027,0.0179
-1.5864,-0.0049,0.0184
-1.5981,-0.0082,0.019
-1.6018,-0.0081,0.0243
-1.5917,-0.0056,0.023
-1.5639,-0.0079,0.0179
-1.5304,-0.007,0.0169
-1.5127,-0.0038,0.0178
-1.5026,-0.0062,0.0222
-1.4854,-0.0045,0.0228
-1.4629,-0.0035,0.0178
-1.4361,-0.0001,0.0121
-1.409,0.0003,0.0141
-1.3916,-0.0008,0.0171
