AccelerationX,AccelerationY,AccelerationZ
0.0181,0.0009,1.0013
0.0177,0.0006,1.0005
0.0178,0.0005,1.0006
0.0178,0.0001,1.0004
0.0166,-0.0002,0.9999
0.016,0.0005,1.0002
0.017,0.0004,1.0011
0.0166,0.0006,1.0016
0.0174,-0.0009,1.0008
0.0189,-0.0007,1.0004
0.0177,-0.0002,0.9999
0.0166,0.0005,0.9999
0.0169,0.001,1.0008
0.017,0.001,1.0005
0.0169,0.0008,1.0002
0.0168,-0.0002,1.0005
0.0172,-0.0006,1.0013
0.0161,0.0012,0.9999
0.015,0.001,0.9998
0.0162,-0.0004,1.0017
0.0171,-0.0001,1.0017
0.0162,0.0002,1
0.0155,0.0013,0.9988
0.0165,0.0005,1.0001
0.0171,-0.0012,1.0005
0.0166,0.0003,1.0007
0.0163,0.0007,1.0004
0.0161,-0.001,0.9998
0.017,0.0006,1
0.0175,0,1.0006
0.0169,0,1.0007
0.0171,0.0007,1.0014
0.017,-0.0002,1.0014
0.016,0.0009,1.0011
0.0165,0.0019,1.0012
0.0179,0.0003,1.0006
0.0178,0.0007,1
0.0161,0.0016,1.0011
0.0159,0.0008,1.001
0.0164,0.0008,1.0005
0.0171,0.0007,1.0011
0.0166,0,1.0012
0.0157,0,0.9999
0.0169,-0.0006,0.9995
0.0179,-0.0002,1.0002
0.017,0.001,1.0004
0.0165,-0.0002,1.0009
0.0169,-0.0003,1.0011
0.0171,0.0003,1.0008
0.0166,-0.0005,1.0003
0.0169,0,1.0005
0.0178,0.0004,1.0007
0.0165,-0.0008,0.9998
0.0165,-0.0001,0.9992
0.0172,0.0003,1.0005
0.0171,-0.0009,1.0008
0.0168,0.0012,1.0001
0.0163,0.0007,0.9997
0.0161,0.0001,1.0007
0.0164,0.0008,1.0013
0.0167,-0.0002,1.0002
0.0176,-0.0008,1
0.0169,0,1.0001
0.0161,-0.0004,0.9996
0.0174,0,0.9999
0.0179,0.0013,1.0006
0.0173,0.0002,1.0003
0.0173,-0.0005,0.9991
0.0171,0.0004,0.9992
0.0175,0.0008,1.0013
0.017,0.0012,1.0026
0.0169,0.0007,1.0014
0.0177,-0.0002,1.0002
0.018,-0.0008,1.0001
0.0171,-0.0006,1.0001
0.0164,0.0002,1.0002
0.017,0.0005,1.0006
0.0177,0.0001,1.0008
0.017,0.0005,1.0008
0.0169,0,1
0.0176,-0.0003,0.9996
0.018,0.0006,1.0003
0.0179,0.0014,1.0016
0.0172,0.0013,1.0009
0.0169,0.0011,1.0001
0.0167,-0.0003,0.9996
0.017,-0.0003,0.9998
0.0177,0.0007,1.0003
0.0171,0.0001,1.0001
0.0168,0.0003,1
0.0162,0.0006,1.0009
0.0166,0,1.0006
0.0175,-0.0001,1.0004
0.0183,0.0003,1.0014
0.0181,0.0003,1.0019
0.018,-0.0002,1.0013
0.0174,0.0002,1.001
0.0166,0.0006,1.0009
0.0167,0.001,1.0008
0.0175,0.001,1.001
0.0174,0.0009,1.0015
0.0166,0.0009,1.0018
0.0167,0.0007,1.0005
0.0183,0.0009,1.0005
0.0177,0.0014,1.0007
0.0164,0.0003,1.0003
0.0159,0.0001,1.0004
0.0159,0.0008,1.001
0.0167,0.0006,1.0016
0.0166,-0.0008,1.0009
0.0165,-0.0006,1.0006
0.0165,0.0008,1.0008
0.0168,0.0014,1.0012
0.0168,0.0012,1.0011
0.017,0.001,1.0015
0.0174,0.0015,1.002
0.0166,0.0012,1.0012
0.0159,0.0007,1.0009
0.0168,0.0002,1.0008
0.0173,-0.0011,1.0005
0.017,-0.0008,1.0005
0.0166,0,0.9997
0.017,0.0001,0.9997
0.018,0.0015,1.0008
0.0177,0.0014,1.0009
0.0173,-0.0002,1.0006
0.0177,0.0002,1.001
0.0179,0.0008,1.0016
0.0168,0.0006,1.0009
0.0167,0.0006,1.0012
0.0167,0.0001,1.0006
0.0165,-0.0005,1.0002
0.016,0.0001,1.0012
0.0169,0.0004,1.0005
0.0173,0.0006,1.0011
0.0169,0.001,1.0013
0.0173,0.0006,1.0007
0.0172,0.0004,1.0009
0.0173,0.0003,1.0015
0.0169,-0.0002,1.0016
0.0174,-0.0001,1.0011
0.0171,-0.0004,1.0005
0.0165,-0.0001,1
0.0164,0.0003,1.0005
0.0171,-0.001,1.0011
0.0166,-0.0006,1.0005
0.0166,0.0004,1.0003
0.0173,0.0004,1.0008
0.0167,0.0017,1.0008
0.0162,0.0016,1.0008
0.0166,0.0012,1.0012
0.0174,0.0013,1.0017
0.0167,0.001,1.0015
0.0164,0.001,1.0007
0.0168,-0.0002,0.9999
0.0171,-0.0006,0.9997
0.0174,0.0005,1.0002
0.0173,0.0002,1.0013
0.0173,0.0001,1.0017
0.0172,0.0009,1.001
0.0167,0.001,1.0007
0.0169,0.0003,1.0013
0.0176,-0.0001,1.0012
0.0172,0,1.0005
0.0159,-0.0004,1.0006
0.0167,-0.0002,1.0005
0.0169,0.0008,1.0003
0.0176,0.0006,0.9995
0.0175,0.0001,0.9998
0.0179,-0.0002,1.0003
0.0184,-0.0001,1
0.0173,0.0001,1.0004
0.0171,0.0004,1.0009
0.0177,0.0007,1.0005
0.0174,0.0008,1.0004
0.0166,0.0001,1.0004
0.017,0.0001,1.0009
0.017,0.0006,1.0013
0.0174,0.0006,1.0014
0.0169,0.0008,1.0012
0.0165,0.0004,1.0004
0.0168,0.0003,1.0006
0.0168,0.0002,1.0005
0.0166,-0.0002,1.0003
0.0162,0.0007,1.0009
0.0161,0.001,1.0013
0.0165,0.0003,1.001
0.0169,0,1.0008
0.0169,-0.0003,1.0014
0.0164,0.0002,1.0016
0.0157,0.0007,1.0004
0.0165,0.0009,1.0003
0.0171,0.001,1.0003
0.0174,0.0007,1.0007
0.0179,0.0002,1.001
0.0174,0.0001,1.0001
0.0172,-0.0009,0.9989
0.0176,-0.0006,0.9998
0.0175,0.0002,1.0008
0.0179,-0.0001,1.0007
0.0174,-0.0009,1.0001
0.0172,-0.0004,1.0005
0.0167,0.0006,1.0014
0.0169,0.0016,1.0012
0.0172,0.0009,1.0005
0.0169,0.0007,1.0008
0.0165,0.0004,1.0007
0.0165,-0.0009,0.9996
0.0167,-0.001,0.9996
0.0175,-0.0004,1.0006
0.0179,0.0005,1.0016
0.0174,-0.0001,1.0011
0.0167,-0.0003,1.0003
0.0163,0.0003,1
0.0163,0,1.0007
0.0164,0,1.0009
0.0167,0.0004,1.0002
0.0169,0.0009,0.9997
0.0167,0.0008,0.9999
0.0166,-0.0003,1.0003
0.0167,-0.0008,1.0008
0.0167,0.0007,1.0013
0.0167,0.0012,1.0013
0.0178,0.0003,1.0011
0.0172,0,1.0008
0.0168,-0.0005,1.0004
0.0176,-0.0004,1.0002
0.0175,-0.0008,1.0007
0.0164,0,1.0006
0.0163,0.001,1.0011
0.0173,-0.0001,1.0005
0.0174,-0.0002,0.9999
0.0169,0.0002,1.0007
0.0164,0.0004,1.0005
0.0162,0.0004,1
0.017,0.0012,1
0.0175,0.001,1.0014
0.0169,0,1.0009
0.0163,-0.0002,1
0.0161,0.0001,1.0007
0.0171,0.0005,1.0001
0.0177,0.001,1.0007
0.0176,0.0005,1.0011
0.017,-0.0005,1.0002
0.0175,-0.0006,0.9999
0.0175,-0.0006,0.9997
0.0174,-0.0006,1.0004
0.0174,-0.0006,1.0002
0.0173,0.0005,0.9998
0.0173,0.0009,0.9999
0.017,0.0003,1.0009
0.0173,0,1.0002
0.0177,0.001,1.001
0.0167,0.0002,1.0013
0.0166,0.0004,1.0013
0.0171,0.0007,1.0008
0.0163,-0.0008,1.0003
0.0163,-0.0007,1.0002
0.0171,0.0009,1.0007
0.0166,0.0009,1.0019
0.0162,0.001,1.0018
0.0171,0.0008,1.0014
0.0181,0.001,1.0007
0.019,0.0007,0.9998
0.0188,0.0004,1
0.0179,-0.0002,1.0004
0.0166,0.0001,1.0003
0.0166,0.0001,1
0.0167,-0.0008,0.9999
0.0161,-0.0004,1.0006
0.0166,0.0001,1.0004
0.0178,-0.0002,1.0002
0.0172,0.0003,1.0004
0.017,0.0012,1.0007
0.0176,0.0013,1.0016
0.018,0.0011,1.0016
0.018,0,1.0003
0.0175,-0.0002,1
0.0173,0.0005,1.0005
0.017,0.0011,1.0012
0.017,0.0015,1.0014
0.0173,0.001,1.0011
0.0174,0.0011,1.0009
0.0172,0.0011,1.0008
0.0176,0.0007,1.0009
0.0177,0.0001,1.0007
0.0167,0.0003,1.0007
0.0162,0.0006,1.0011
0.0172,0.0003,1.0008
0.0175,-0.0003,1.0002
0.0172,0.0005,1.0009
0.0169,0.001,1.0018
0.0167,0.0006,1.0016
0.0162,-0.0001,1.0007
0.0156,0.0001,1.0013
0.0163,0.001,1.001
0.0174,0.0004,1.0006
0.0176,0.0003,1.0011
0.0164,0.0003,1.0006
0.0164,0.0001,1.0003
0.0171,0.0011,1.0004
0.0171,0.0002,0.9999
0.0169,0.0001,1.0001
0.0169,0.0019,1.0007
0.0168,0.0008,1.001
0.0166,0.0001,1.0009
0.0172,0.0008,1.0003
0.0173,-0.0001,0.9998
0.0175,-0.0006,0.9991
0.0176,-0.0005,1
0.0164,-0.0011,1.0009
0.0166,-0.0005,1.0003
0.017,0.0006,1.0003
0.0168,0.0004,1.0005
0.0167,0.0004,1.0003
0.0163,0,1.0016
0.0162,0.0009,1.0017
0.0165,0.0013,0.9996
0.0169,0.0009,0.9998
0.0166,0.0001,1.001
0.0168,-0.0007,1
0.0172,0.0006,1.0009
0.017,0.0013,1.0009
0.016,0.0015,0.9999
0.0165,0.0012,1.0005
0.0172,0.0007,1.0005
0.0172,0.0003,1.0002
0.0178,-0.0005,1.0004
0.0174,0.0002,1.0012
0.0167,0.0005,1.0012
0.0169,0.0005,1.001
0.017,0.0006,1.0009
0.0174,0.0002,1.0009
0.018,0.0001,1.0006
0.0167,-0.0001,1.0006
0.0154,-0.0003,1.0012
0.0159,0.0008,1.0008
0.0166,0.0008,1.0002
0.0167,0.0003,1.0002
0.0171,-0.0004,1.0002
0.0172,0,1.0005
0.0173,0,1.0006
0.0174,0.0005,1.0016
0.017,0.0004,1.0013
0.0166,-0.0004,1
0.0172,-0.0004,0.9999
0.0166,-0.0004,1.0002
0.0167,0.0009,1.0012
0.0164,0.0005,1.0013
0.0159,-0.0002,0.9998
0.017,0.0001,1
0.0177,-0.0002,0.9996
0.0174,0.0002,1
0.0165,0.0012,1.0004
0.0157,0.0007,1.0002
0.0161,0.0002,1
0.0165,0.0013,1.0006
0.0167,0.002,1.0014
0.0173,0.0012,1.0004
0.017,0.0005,1.0006
0.0166,0.0004,1.0008
0.0167,0.0003,1.0001
0.0171,0.0001,1
0.0168,-0.0003,1
0.0167,0.0002,1.0003
0.0169,0.0007,1.0003
0.0168,0.0007,1.0009
0.017,0.0016,1.0012
0.0172,0.0013,1.0006
0.0173,0.0002,1.0005
0.0176,-0.0004,1.0009
0.0172,-0.0005,1.0003
0.0169,0.0002,1.0012
0.017,0.0003,1.0008
0.0169,0.0006,1.0006
0.017,-0.0005,0.9999
0.0174,-0.0014,0.9994
0.0173,-0.0019,0.9998
0.0175,-0.0003,1.0008
0.0173,0.0005,1.0016
0.0179,-0.0033,1.0006
0.0171,-0.0062,0.999
0.0169,-0.0044,0.9976
0.0185,0.0039,0.9983
0.0189,0.0079,1.0008
0.0166,-0.0068,0.9996
0.0148,-0.0216,0.9994
0.0164,-0.0103,0.9999
0.019,0.0045,1.0014
0.0187,-0.0007,1.0005
0.0156,-0.0136,0.9975
0.0161,-0.0186,0.9976
0.0181,-0.0152,1.0005
0.0188,-0.0122,1.0004
0.0168,-0.0191,0.9986
0.0159,-0.0217,0.9975
0.0175,-0.0161,1
0.0187,-0.0205,1.0008
0.0177,-0.0319,0.999
0.017,-0.0373,0.9991
0.0166,-0.0338,1.0003
0.0172,-0.0245,0.9995
0.0181,-0.0295,0.9984
0.0173,-0.0493,0.9981
0.0164,-0.0508,0.9987
0.0178,-0.0432,1.0006
0.0168,-0.0557,1
0.0153,-0.063,0.9954
0.0177,-0.0507,0.9963
0.0197,-0.0569,1.0007
0.0183,-0.081,0.9975
0.016,-0.0857,0.9936
0.0185,-0.0697,0.9974
0.0213,-0.0693,1.0004
0.0181,-0.0952,0.9956
0.0142,-0.1165,0.9901
0.0175,-0.0938,0.9939
0.0225,-0.0744,1.0013
0.0182,-0.1189,0.9958
0.0122,-0.1504,0.985
0.0174,-0.1145,0.99
0.0243,-0.1053,1.0012
0.0191,-0.1461,0.9898
0.0129,-0.1509,0.9827
0.0172,-0.1407,0.9942
0.0213,-0.1582,0.992
0.0178,-0.1667,0.9803
0.0161,-0.1585,0.9841
0.0191,-0.1638,0.9926
0.0186,-0.1853,0.9866
0.015,-0.2103,0.974
0.0196,-0.1936,0.9772
0.0229,-0.1872,0.9903
0.018,-0.21,0.983
0.0129,-0.2332,0.9669
0.0183,-0.2321,0.9677
0.0252,-0.2179,0.9806
0.022,-0.2398,0.9786
0.0144,-0.2765,0.9572
0.0142,-0.2686,0.9635
0.0227,-0.2455,0.9736
0.0229,-0.2691,0.9694
0.0171,-0.3083,0.9489
0.0157,-0.3105,0.9495
0.018,-0.3016,0.9556
0.0183,-0.3012,0.9603
0.0184,-0.3269,0.9507
0.0194,-0.3494,0.936
0.0194,-0.3535,0.9354
0.0193,-0.3414,0.9431
0.0174,-0.3554,0.9391
0.0187,-0.373,0.9296
0.0216,-0.3917,0.9224
0.0216,-0.4033,0.9112
0.0174,-0.398,0.9206
0.0146,-0.4032,0.9221
0.0185,-0.416,0.9134
0.0227,-0.4492,0.8952
0.0221,-0.4515,0.8872
0.0183,-0.4365,0.9024
0.015,-0.4543,0.8989
0.0144,-0.478,0.884
0.0191,-0.49,0.8697
0.0259,-0.4828,0.8735
0.0242,-0.4927,0.8815
0.0149,-0.5115,0.862
0.0118,-0.5319,0.8495
0.0201,-0.528,0.8499
0.0263,-0.5185,0.8653
0.0225,-0.542,0.8456
0.0136,-0.5709,0.8172
0.0124,-0.5838,0.8176
0.0207,-0.568,0.8233
0.0249,-0.5618,0.8426
0.0195,-0.5938,0.8086
0.0158,-0.6103,0.7904
0.0168,-0.6212,0.7839
0.02,-0.6127,0.793
0.0203,-0.6189,0.794
0.0173,-0.6327,0.7795
0.0161,-0.6507,0.7607
0.0174,-0.6596,0.7553
0.0193,-0.6488,0.7627
0.0207,-0.6617,0.7585
0.0171,-0.691,0.7245
0.017,-0.6887,0.7258
0.0199,-0.6818,0.7337
0.0202,-0.694,0.7276
0.0178,-0.7095,0.7099
0.0164,-0.7227,0.6873
0.0164,-0.7303,0.6874
0.0177,-0.7256,0.6937
0.0177,-0.7286,0.6917
0.0175,-0.74,0.6825
0.0188,-0.7551,0.6601
0.0185,-0.7719,0.6326
0.018,-0.7692,0.6351
0.0189,-0.7606,0.6595
0.0165,-0.7764,0.6437
0.0156,-0.7891,0.6195
0.0188,-0.7977,0.5964
0.0192,-0.7964,0.6022
0.0159,-0.8063,0.6022
0.0116,-0.8209,0.5752
0.0142,-0.8134,0.5788
0.021,-0.8196,0.5775
0.0212,-0.8338,0.5599
0.016,-0.8367,0.5472
0.0135,-0.8475,0.5314
0.0148,-0.8499,0.5323
0.0171,-0.8451,0.5352
0.0175,-0.8602,0.5164
0.0164,-0.8749,0.4933
0.0152,-0.8656,0.4897
0.0138,-0.8694,0.4965
0.012,-0.8909,0.4665
0.0158,-0.886,0.455
0.0184,-0.8872,0.4628
0.0163,-0.894,0.4566
